region,selectedRegion,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Jharkhand,,83571276.049999997,84294355.109999999,88863454.680000007,90963792.930000007,94827949.909999996,99761966.709999993,104989255.8,106814846.59999999,110883720.7,118044428.2,117602203.90000001,118813383.59999999,118901778.2,123296464.90000001,128074873.5,132953350.3,138147818.59999999,141669464.69999999,138621392.30000001,141994121.5,145559034.59999999,145872160.09999999,145819849.40000001,139127704.59999999,133357684.5,127486013.3,120077172.90000001,129255193.3,136770551.19999999,143290512.59999999
Rajasthan,,80236049.930000007,80937051.930000007,85304419.280000001,90466659.480000004,97698658.420000002,106481294.59999999,116105556.8,122371386.3,131615560.3,145222001.40000001,150496703.69999999,158061553.5,164284720.59999999,176913399.09999999,190731624.19999999,205376996.30000001,221240339.90000001,238232043,244437916.5,262903929.5,283020643.39999998,297589445.10000002,312063242.69999999,336425639.10000002,366836445.30000001,401976229.30000001,437629369.19999999,473181941.69999999,502329446.30000001,527631995.89999998
Chhattisgarh,,68914109.159999996,69496272.780000001,73304651.450000003,75067965.790000007,78313378.140000001,82460394.870000005,86857639.189999998,88394044.719999999,91820112.819999993,97855122.069999993,97481725.680000007,98502782.230000004,98577191.640000001,102284729.09999999,106318796.90000001,110440237.8,114831657,117808422.2,115229203.09999999,118081282.09999999,121097981,121364258.8,121322029.7,123005254.3,125847409.3,129094298.5,131289064.40000001,141600328.09999999,150047823.19999999,157378204
Kerala,Kerala,67204041.299999997,67748018.799999997,71530189.359999999,71674841.349999994,73109429.140000001,75179641.379999995,77232108.920000002,76565173.239999995,77395438.969999999,80145885.760000005,89788091.890000001,102016140.8,114763982.3,134071479.40000001,157071404.30000001,184072332.80000001,216154062.40000001,233173233.09999999,238401352.80000001,256415920.5,275836174.89999998,289037132.10000002,301801741.30000001,332390364.19999999,370539255,415209629.10000002,461934942.89999998,502222335.19999999,535314280.39999998,564071650.39999998
Punjab,Punjab,60321180.469999999,60792999.469999999,64235203.740000002,69632766.189999998,76978130.200000003,85952452.890000001,96028009.959999993,103404740.2,113829729.5,128855707,134594197.5,142705856.40000001,149640117.09999999,163182017,178243882,194507626.59999999,212431464,225979167.80000001,227982688.69999999,242244686.30000001,257662859.5,267110116.5,276116201.30000001,293090247.89999998,314978962.89999998,340308505.60000002,365066193.30000001,397023667.30000001,423276386.5,446091924.19999999
Uttarakhand,,58475875.549999997,58929061.270000003,62278058.119999997,63864884.159999996,66789741.32,70536630.439999998,74520926.969999999,75915260.280000001,79030134.159999996,84533737.329999998,84191138.150000006,85123212.409999996,85190736.75,88583486.640000001,92283580.439999998,96072739.400000006,100119674.40000001,102861871.59999999,100477856.59999999,103108725.40000001,105897973.90000001,106147862.7,106114806,101670331,96941829.510000005,90904228.379999995,82173920.079999998,89009080.060000002,94616071.959999993,99484900.799999997
NCT of Delhi,Delhi,56984601.509999998,57360873.159999996,60812947.700000003,68314980.780000001,78168269.870000005,90175895.709999993,103835076.09999999,114604956.59999999,129312387.2,150133581.40000001,145087308.30000001,142577111.09999999,138527869.59999999,140380813.19999999,142508095.69999999,144515034.5,146668265.69999999,164348915.40000001,173067347.59999999,191119261.59999999,210139713.80000001,223998456.09999999,237132666.69999999,237089655.5,239957072.80000001,244055157.80000001,246337438.19999999,267892833.30000001,285600112.10000002,300988926.89999998
Haryana,,42648142.670000002,42999423.469999999,45382106.840000004,48514082.539999999,52868433.299999997,58186904.149999999,64090784.82,68139314.819999993,74019946.650000006,82625669.680000007,85306963.189999998,89394382.299999997,92716534.069999993,99912909.849999994,107879108.2,116411502.2,125760586.40000001,135828332.30000001,139343056,150301437,162272586.5,170859678.59999999,179382147.80000001,207000157.30000001,241048720.5,281417778.10000002,325483029.80000001,353542745.10000002,376582953.10000002,396601210.60000002
Odisha,,37220376.270000003,37562909.869999997,39538950.649999999,41448835.25,44178502.770000003,47463159.219999999,50972217.32,52969816.909999996,56075404.490000002,60764608.240000002,63014325.939999998,66204965.369999997,68908034.75,74194389.510000005,80012344.390000001,86226910.239999995,93003153.989999995,99941391.129999995,102587256,110133625,118346033.09999999,124360090.5,130349587.90000001,136963392.5,145476263.5,155236521.40000001,164630996,177317866.09999999,187707865.90000001,196722333.5
Assam,,30196006.510000002,30471413.809999999,32081698.18,32891151.899999999,34314754.369999997,36111974.159999996,38013043.210000001,38734614.850000001,40236925.189999998,42814831.850000001,45305539.799999997,48549623.840000004,51510963.100000001,56532890.719999999,62121469.590000004,68192656.709999993,74899422.560000002,81111045.930000007,83845827.060000002,90719704.840000004,98258760.049999997,104034228.8,109868812.09999999,110516346,112400551.8,114850571.40000001,116623713.90000001,125619219.09999999,132986237.8,139377997.09999999
