region,selectedRegion,year,GDP,NTL,lnNTL,lnGDP
Nagaland,,1997,3478074.918,6812,8.826442509779152,15.061989514204912
Sikkim,Sikkim,1997,1979174.166,3213,8.07496347146707,14.498190227786587
Mizoram,,1997,2168200.108,4832,8.483017809148933,14.58940793802023
Lakshadweep,,1997,674583.7218,235,5.459628066430287,13.42185107116735
Uttar Pradesh,,1998,322481025.4,1001234,13.816743807199732,19.591554856500206
Maharashtra,Maharashtra,1998,335133518.9,1992298,14.50479930935086,19.63003957426445
Telangana,,1998,221150217.3,678688,13.427916816409384,19.214352744869128
Bihar,Bihar,1998,156156198.4,149988,11.91831063655022,18.866367336070436
Madhya Pradesh,,1998,172245037.6,1102850,13.91340830530815,18.964428658154223
West Bengal,,1998,174249326.6,458460,13.03562834768182,18.975997743035027
Gujarat,,1998,166789878.9,1157022,13.961360029331088,18.93224536799038
Andhra Pradesh,,1998,174453207.5,804038,13.597401823163025,18.97716711178515
Tamil Nadu,,1998,163089027.6,1059349,13.873165135916672,18.90980679126325
Karnataka,,1998,144551189.2,999715,13.815225527346907,18.789144253303892
Jharkhand,,1998,110883720.7,135566,11.817213959350218,18.523992648939554
Rajasthan,,1998,131615560.3,1160101,13.964017636877722,18.69539580922747
Chhattisgarh,,1998,91820112.82,225705,12.326984160166708,18.335341925492937
Kerala,Kerala,1998,77395438.97,293691,12.590283507252792,18.164438408787454
Punjab,Punjab,1998,113829729.5,782842,13.570686179390082,18.550214288947878
Uttarakhand,,1998,79030134.15999998,86266,11.36519094085616,18.185339782762913
NCT of Delhi,Delhi,1998,129312387.2,100480,11.517714081224312,18.677741641164193
Haryana,,1998,74019946.65,574142,13.26063204888352,18.119845164170876
Odisha,,1998,56075404.49,283143,12.55370738467534,17.842207851719476
Assam,,1998,40236925.19,193314,12.17207114058347,17.510295669056905
Puducherry,,1998,15193942.48,13889,9.5388531589102,16.536407385333252
Himachal Pradesh,,1998,20567724.65,78646,11.272712176112465,16.839233640537593
Jammu and Kashmir,,1998,27772041.56,133512,11.80194671532287,17.13954037332545
Tripura,,1998,7097227.19,32614,10.392497229637966,15.77521472911254
